Rk,Player,Nation,Pos,Squad,League,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKmiss,PK Save%,FK GA,CK GA,OG GA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-p90,Launched Pass Cmp,Launched Pass Att,Launched Pass Cmp%,GK Throws,Launched Pass%,AvgLen Launched,Att Goal Kicks,Launch Goal Kicks%,AvgLen Goal Kicks,Crosses faced,Crosses stopped,Crosses Stp%,OPA Actions,OPA p90,OPA AvgDist,Cmp Passes,Att Passes,Total Pass Cmp%,TotDist,PrgDist,Cmp Short Passes,Att Short Passes,Cmp Short Passes%,Cmp Med Passes,Att Med Passes,Cmp Med Passes%,Cmp Long Passes,Att Long Passes,Cmp Long Passes%,Ast,xAG,xA,A-xAG,KP,Passes into Final third,PPA,CrsPA,PrgP
1,Krapyvtsov Vladyslav,ua UKR,GK,Girona,La Liga,19,2005,2,2,180,2,7,3.5,18,11,66.7,0,0,2,0,0,1,1,0,0,0,0,2,0,6.3,0.31,-0.7,-0.37,10,21,47.6,13,31.7,35.6,7,14.3,28.6,27,1,3.7,1,0.5,12.9,53,70,75.7,1585,1179,4,4,100,32,34,94.1,17,32,53.1,0,0,0,0,0,1,0,0,0
2,Iván Villar,es ESP,GK,Celta Vigo,La Liga,27,1997,4,4,360,4,9,2.25,18,10,50,2,0,2,0,0,1,0,1,0,100,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,15,14.6,24,35,28.6,26.9,65,1,1.5,5,1.25,14.8,95,117,81.2,1704,1111,30,30,100,44,44,100,10,32,31.3,0,0,0,0,0,0,0,0,0
3,Fran Vieites,es ESP,GK,Betis,La Liga,25,1999,4,4,360,4,5,1.25,11,6,54.5,1,2,1,0,0,0,0,0,0,,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,16,40,38,29,62.1,46.4,65,6,9.2,4,1,12.8,76,119,63.9,2047,1345,15,15,100,37,37,100,24,67,35.8,0,0,0,0,0,2,0,0,0
4,Marc-André ter Stegen,de GER,GK,Barcelona,La Liga,32,1992,8,8,674,7.5,9,1.2,22,13,63.6,7,0,1,1,12.5,1,1,0,0,0,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,40,12.1,26.5,27,14.8,32,83,5,6,13,1.74,17,233,251,92.8,5847,4091,26,26,100,151,153,98.7,56,72,77.8,0,0,0,0,0,1,1,0,2
5,Wojciech Szczęsny,pl POL,GK,Barcelona,La Liga,34,1990,15,15,"1,350",15,12,0.8,33,21,66.7,14,1,0,8,53.3,1,1,0,0,0,0,1,0,12,0.35,0,0,24,63,38.1,61,12.3,25.1,54,25.9,31,130,7,5.4,56,3.73,20.2,402,454,88.5,9086,5717,81,81,100,251,254,98.8,68,115,59.1,0,0,0,0,0,1,0,0,0
6,Juan Soriano,es ESP,GK,Leganés,La Liga,26,1997,6,6,540,6,7,1.17,25,19,72,1,2,3,1,16.7,0,0,0,0,,0,1,1,8.8,0.36,2.8,0.47,36,120,30,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0,8.4,98,185,53,3513,2922,17,17,100,35,35,100,46,133,34.6,0,0,0,0,0,0,0,0,0
7,David Soria,es ESP,GK,Getafe,La Liga,31,1993,38,38,"3,420",38,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,0,5,0,42,0.29,3,0.08,300,799,37.5,68,72.6,48.8,304,91.1,61.5,479,25,5.2,39,1.03,14.7,513,1029,49.9,22539,20168,29,29,100,137,139,98.6,346,854,40.5,0,0,0.2,0,0,51,1,0,1
8,Antonio Sivera,es ESP,GK,Alavés,La Liga,27,1996,32,32,"2,810",31.2,39,1.25,112,75,73.2,9,10,13,8,25,9,9,0,0,0,2,2,2,39,0.28,2,0.06,297,724,41,70,71.8,47.7,229,85.6,60,453,30,6.6,29,0.93,12.7,521,967,53.9,22083,19812,37,37,100,150,153,98,332,771,43.1,0,0.1,0.2,-0.1,1,42,1,0,1
9,Unai Simón,es ESP,GK,Athletic Club,La Liga,27,1997,21,21,"1,890",21,14,0.67,62,47,79,10,8,3,10,47.6,2,1,1,0,50,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,91,36.2,34.4,117,77.8,58.3,250,19,7.6,28,1.33,15.5,455,654,69.6,13411,10783,64,64,100,238,242,98.3,152,343,44.3,0,0,0,0,0,12,0,0,0
10,Rui Silva,pt POR,GK,Betis,La Liga,30,1994,15,15,"1,350",15,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,70,26,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,412,524,78.6,10283,6196,66,66,100,250,250,100,93,203,45.8,0,0.1,0,-0.1,2,5,0,0,0
