Home Team,Away Team,Home Score,Away Score
Mohun Bagan SG,Kerala Blasters FC,2,0
FC Goa,Inter Kashi FC,1,1
Jamshedpur FC,Mohammedan SC,1,0
Bengaluru FC,Sporting Club Delhi,2,0
East Bengal FC,North East United FC,3,0
Mumbai City FC,Chennaiyin FC,1,0
Mohammedan SC,FC Goa,0,2
East Bengal FC,Sporting Club Delhi,4,1
Jamshedpur FC,Punjab FC,1,0
Bengaluru FC,North East United FC,1,1
Kerala Blasters FC,Mumbai City FC,0,1
Mohun Bagan SG,Chennaiyin FC,2,0
Odisha FC,Inter Kashi FC,0,0
FC Goa,Sporting Club Delhi,1,0
East Bengal FC,Jamshedpur FC,1,2
Bengaluru FC,Punjab FC,0,2
Kerala Blasters FC,Inter Kashi FC,1,2
Mohun Bagan SG,Mohammedan SC,5,1
Odisha FC,Chennaiyin FC,1,1
Mumbai City FC,North East United FC,1,1
East Bengal FC,FC Goa,0,0
Jamshedpur FC,Inter Kashi FC,1,0
Odisha FC,Mohun Bagan SG,1,5
Mohammedan SC,Bengaluru FC,1,2
Kerala Blasters FC,Chennaiyin FC,0,1
Mumbai City FC,Sporting Club Delhi,2,2
Punjab FC,North East United FC,1,1
Chennaiyin FC,Mohammedan SC,,
Sporting Club Delhi,Odisha FC,,
East Bengal FC,Kerala Blasters FC,1,1
Bengaluru FC,Mohun Bagan SG,0,0
North East United FC,Jamshedpur FC,2,1
Inter Kashi FC,Mumbai City FC,1,2
Punjab FC,FC Goa,1,1
Sporting Club Delhi,Jamshedpur FC,1,1
North East United FC,Odisha FC,1,4
Mohun Bagan SG,Mumbai City FC,0,1
East Bengal FC,Mohammedan SC,7,0
Kerala Blasters FC,Punjab FC,1,3
Chennaiyin FC,FC Goa,1,1
Inter Kashi FC,Bengaluru FC,1,3
Punjab FC,Mohammedan SC,2,1
Jamshedpur FC,Mohun Bagan SG,1,1
FC Goa,Bengaluru FC,0,2
Sporting Club Delhi,Kerala Blasters FC,2,0
Mumbai City FC,Odisha FC,1,0
Chennaiyin FC,Inter Kashi FC,1,2
Jamshedpur FC,Mumbai City FC,1,1
North East United FC,Sporting Club Delhi,0,3
FC Goa,Odisha FC,3,1
Chennaiyin FC,East Bengal FC,1,3
Bengaluru FC,Kerala Blasters FC,1,2
Inter Kashi FC,Mohammedan SC,1,0
Mohun Bagan SG,Punjab FC,3,2
Kerala Blasters FC,North East United FC,1,1
East Bengal FC,Bengaluru FC,,
Chennaiyin FC,Sporting Club Delhi,,
Odisha FC,Mohammedan SC,,
Kerala Blasters FC,Jamshedpur FC,,
FC Goa,Mumbai City FC,,
North East United FC,Mohun Bagan SG,,
Punjab FC,Inter Kashi FC,,
Kerala Blasters FC,Odisha FC,,
North East United FC,FC Goa,,
East Bengal FC,Punjab FC,,
Bengaluru FC,Mumbai City FC,,
Jamshedpur FC,Chennaiyin FC,,
Sporting Club Delhi,Mohammedan SC,,
Mohun Bagan SG,Inter Kashi FC,,
East Bengal FC,Odisha FC,,
Jamshedpur FC,FC Goa,,
Inter Kashi FC,North East United FC,,
Sporting Club Delhi,Punjab FC,,
Mohammedan SC,Mumbai City FC,,
Mohun Bagan SG,East Bengal FC,,
Odisha FC,Bengaluru FC,,
Punjab FC,Chennaiyin FC,,
Mumbai City FC,East Bengal FC,,
FC Goa,Mohun Bagan SG,,
Jamshedpur FC,Bengaluru FC,,
Kerala Blasters FC,Mohammedan SC,,
North East United FC,Chennaiyin FC,,
Sporting Club Delhi,Inter Kashi FC,,
Bengaluru FC,Chennaiyin FC,,
East Bengal FC,Inter Kashi FC,,
FC Goa,Kerala Blasters FC,,
Odisha FC,Punjab FC,,
Jamshedpur FC,Odisha FC,,
Mohammedan SC,North East United FC,,
Mohun Bagan SG,Sporting Club Delhi,,
Mumbai City FC,Punjab FC,,
